time,step-size,{ether}.ether.receiver,{sender}.sender.out
0.0,0.0,"",""
5.0E-5,5.0E-5,"[]","[1]"
0.1,0.09995000000000001,"[[1]]","[1, 2]"
0.2,0.1,"[[1]]","[1, 2, 3]"
0.3,0.09999999999999998,"[[1, 2],[1, 2, 3]]","[1, 2, 3, 4]"
0.4,0.10000000000000003,"[[1, 2],[1, 2, 3]]","[1, 2, 3, 4, 5]"
0.5,0.09999999999999998,"[[1, 2, 3, 4],[1, 2, 3, 4, 5]]","[1, 2, 3, 4, 5, 6]"
0.6,0.09999999999999998,"[[1, 2, 3, 4],[1, 2, 3, 4, 5]]","[1, 2, 3, 4, 5, 6, 7]"
0.7,0.09999999999999998,"[[1, 2, 3, 4, 5, 6],[1, 2, 3, 4, 5, 6, 7]]","[1, 2, 3, 4, 5, 6, 7, 8]"
0.8,0.10000000000000009,"[[1, 2, 3, 4, 5, 6],[1, 2, 3, 4, 5, 6, 7]]","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
0.9,0.09999999999999998,"[[1, 2, 3, 4, 5, 6, 7, 8],[1, 2, 3, 4, 5, 6, 7, 8, 9]]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
